team,filename,rocket_name,parse_status,motor_designation,motor_found,or_apogee_ft,diameter_in,length_in,mass_found,mass_source,mass_lb,cg_found,cg_in,cp_found,cp_in,stability_cal,stability_category,tier_run,our_apogee_ft,apogee_diff_pct,hazard_zone_ft,motor_class,total_impulse_ns,is_multistage,stage_count,nosecone_type,barrowman_cd,cd_used,override_applied,missing_fields,warnings
79,79_ORK_PR2.ork,79,ok,8429M2020-P,yes,10119,6.17,127.87,yes,databranch_t0,52.472,yes,77.01,yes,88.76,1.904,stable,tier3,10590,4.6,10826,M,8428.7,no,1,ogive,0.4650,barrowman:0.4650,no,,
7,7_CukurovaUniversity_Progress_Report2.ork,Rocket,ok,M1850W,yes,10196,5.51,106.30,yes,databranch_t0,48.208,yes,71.46,yes,86.19,2.674,stable,tier3,11186,9.7,11546,M,7791.4,no,1,haack,0.4769,barrowman:0.4769,no,,
81,81_ORK_PR2.ork,Rocket,ok,M2500T,yes,11239,5.15,112.25,yes,databranch_t0,64.342,yes,74.80,yes,87.55,2.475,stable,tier3,11148,-0.8,12358,M,9464.3,no,1,haack,0.5310,barrowman:0.5310,no,,
84,84_ORK_PR2.ork,IREC Team 84,ok,M1315W,yes,10516,5.15,104.15,yes,override,10.780,no,,yes,79.63,,,tier3,11480,9.2,6985,M,6545.1,no,1,haack,0.4880,barrowman:0.4880,yes,,"override: motor [motor_designation: OR XML has 'M1315W'. mass_lb locked to <mass>-only sum (10.78lb) â€” <overridemass> elements are replacement overrides that double-count with parent <mass> elements in this file. Session 8: reverted from M1350W / fullSum experiment that caused -27% regression (was +27% with this config, which is conservative).]"
87,87_ORK_PR2.ork,Rocket,ok,M1939W,yes,10460,6.17,146.00,yes,databranch_t0,64.326,yes,97.95,yes,115.28,2.808,stable,tier3,10008,-4.3,10355,N,10240.9,no,1,conical,0.6267,barrowman:0.6267,no,,
90,90_ORK_PR2.ork,90,ok,M2500T,yes,8355,6.17,143.55,yes,databranch_t0,70.347,yes,98.31,yes,118.84,3.328,stable,tier3,8426,0.9,9213,M,9464.3,no,1,haack,0.6089,barrowman:0.6089,no,,
91,91_ORK_PR2.ork,91_ORK_PR2,ok,M2500T,yes,9937,6.00,113.23,yes,databranch_t0,62.591,yes,73.86,yes,89.27,2.569,stable,tier3,10977,10.5,11879,M,9464.3,no,1,ogive,0.4398,barrowman:0.4398,no,,
92,92_All Glass No Breaks_ORK_PR2.ork,All Glass No Brakes v1,ok,N4000W-PS,yes,9866,6.20,205.28,yes,databranch_t0,112.625,yes,131.34,yes,174.32,,,tier1_multistage_or,,0.0,2467,N,18278.3,yes,2,haack,0.7987,n/a,no,,"MULTI-STAGE (2 stages, motors: N4000W-PS): using OR stored apogee (full multi-stage sim)"
98,98_ORK_PR2.ork,HRC,ok,M2400T,yes,11997,5.79,95.30,yes,component_sum+geom,23.741,no,,yes,77.42,,,tier3,12262,2.2,11609,M,7541.1,no,1,haack,0.4264,barrowman:0.4264,yes,,"override: motor [motor_designation: OR XML has 'M2400T', we matched 'M2000R']"
99,99_ORK_PR2.ork,99 - Sabre III,ok,M2500T,yes,10537,6.17,117.00,yes,databranch_t0,67.547,yes,78.62,yes,24.62,-8.753,unstable,tier3,10472,-0.6,8393,M,9464.3,no,1,haack,0.3774,barrowman:0.3774,yes,,"override: motor [motor_designation: OR XML has 'M2500T', we matched 'M1075DM']"
,AirumãProgReport2.ork,AirumãProgReport2,ok,esseN3533,no,10368,6.22,105.79,yes,component_sum,50.176,no,,yes,11.81,,,tier1_no_motor,,,2592,,,no,1,haack,0.3666,n/a,no,motor,
,ATAKOR_IV_SkyDZ_10kft_COTS-.ork,ATAKOR 4,ok,M2500T,yes,10001,6.46,118.11,yes,databranch_t0,58.087,yes,78.15,yes,93.85,2.432,stable,tier3,10647,6.5,10899,M,9464.3,no,1,haack,0.4691,barrowman:0.4691,no,,
,bozdogan_irec_openrocket (1).ork,bozdogan_irec,ok,M1850W,yes,10779,4.92,92.13,yes,databranch_t0,54.101,yes,53.15,yes,8.92,-8.987,unstable,tier3,11548,7.1,9319,M,7791.4,no,1,parabolic,0.4089,barrowman:0.4089,no,,
,bozdogan_irec_openrocket.ork,bozdogan_irec,ok,M1850W,yes,10779,4.92,92.13,yes,databranch_t0,54.101,yes,53.15,yes,8.92,-8.987,unstable,tier3,11548,7.1,9319,M,7791.4,no,1,parabolic,0.4089,barrowman:0.4089,no,,
,Cloudburst Rev B-5 (IREC Progress Update #2).ork,Cloudburst Rev B-5 (IREC Progress Update #2),ok,N4000W-PS,yes,35761,4.16,117.00,yes,component_sum+geom,26.727,no,,yes,90.79,,,tier3,30740,-14.0,28007,N,18278.3,no,1,ogive,0.6799,barrowman:0.6799,yes,,"override: motor [motor_designation: OR XML has 'N4000W-PS', we matched '21062O3400-P']"
,CURSR_V_C13_PR2.ork,Rocket,ok,O5500X-PS,yes,31366,5.16,97.33,yes,databranch_t0,80.330,yes,71.73,yes,66.68,-0.979,unstable,tier3,27840,-11.2,15179,O,21395.4,no,1,conical,0.5326,barrowman:0.5326,no,,
,finalRocket_report_2.ork,finalRocket_report_1,ok,N2000W,yes,10870,6.00,144.00,yes,databranch_t0,87.779,yes,84.06,yes,56.53,-4.588,unstable,tier3,11571,6.4,9206,N,13060.9,no,1,haack,0.5102,barrowman:0.5102,no,,
,Full-Scale Progress Report 2 (1).ork,Full-Scale Progress Report 2,ok,M2500T,yes,11423,6.17,138.75,yes,component_sum+geom,36.722,no,,yes,107.94,,,tier3,11156,-2.3,11167,M,9464.3,no,1,haack,0.4993,barrowman:0.4993,no,,
,Full-Scale Progress Report 2.ork,Full-Scale Progress Report 2,ok,M2500T,yes,11423,6.17,138.75,yes,component_sum+geom,36.722,no,,yes,107.94,,,tier3,11156,-2.3,11167,M,9464.3,no,1,haack,0.4993,barrowman:0.4993,no,,
,GÖKÇENN.ork,GÖKÇEN,ok,M1850W,yes,10004,4.72,88.98,yes,databranch_t0,46.500,yes,54.06,yes,70.15,3.406,stable,tier3,10854,8.5,10885,M,7791.4,no,1,haack,0.7300,barrowman:0.7300,yes,,override: cd [cd_override: Mach 0.917 near-transonic — Barrowman CD 0.4811 underestimates. cd=0.63 gave 16.2%; iter2=0.73.]
,Heart_Attack_PR2.ork,Heart Attack,ok,M6000ST,yes,10126,6.13,139.63,yes,databranch_t0,61.187,yes,88.39,yes,21.00,-11.000,unstable,tier3,11029,8.9,7623,M,9604.6,no,1,ogive,0.4535,barrowman:0.4535,no,,
,Hyperion (V1.1).ork,Hyperion,ok,M2500T,yes,11208,6.17,95.34,yes,databranch_t0,61.784,yes,62.48,yes,74.95,2.022,stable,tier3,11144,-0.6,12002,M,9464.3,no,1,ogive,0.4133,barrowman:0.4133,no,,
,Integrity.ork,Rocket,ok,M2500,no,10792,4.02,72.00,yes,component_sum+geom,26.596,no,,yes,53.19,,,tier1_no_motor,,,2698,,,no,1,ogive,0.4448,n/a,no,motor,
,IREC 2026 - PR2.ork,Rocket,ok,M1939W,yes,13316,6.17,100.00,yes,component_sum+geom,45.119,no,,yes,80.26,,,tier3,11809,-11.3,12871,N,10240.9,no,1,haack,0.4159,barrowman:0.4159,no,,
,IREC 2026 PR2 V1.0.ork,222_ORK_PR2,ok,O5500X-PS,yes,32319,6.13,117.50,yes,databranch_t0,65.898,yes,90.94,yes,99.12,1.334,stable,tier3,38390,18.8,35041,O,21395.4,no,1,ogive,0.3000,barrowman:0.3000,yes,,"override: cd [Barrowman Cf=0.005 overestimates skin friction for this extreme-fineness rocket (fr=19.17, L=117.5in, D=6.13in). At burnout (alt=1766m, v=689m/s) Re~1.1e8 gives actual Cf~0.002, not 0.005. OR databranch confirms CD=0.276 at Mach 2.131. Numerical sweep (session 10): cdSub=0.30 reproduces OR apogee 32334ft to within 0.9%. Motor O5500X-PS, mass 29.891kg, geometry all confirmed correct â€” CD is sole source of -23.1% error.]"
,IREC 2026 V12.ork,Rocket,ok,N5500,no,36483,4.02,116.12,yes,databranch_t0,58.471,yes,74.80,yes,84.67,,,tier1_no_motor,,,9121,,,no,1,haack,0.6728,n/a,no,motor,
,IREC 2026 V2.ork,IREC 2026 V2,ok,Edna,no,27495,6.20,103.63,yes,databranch_t0,109.537,yes,99.49,yes,82.34,,,tier1_no_motor,,,6874,,,no,1,conical,0.5399,n/a,no,motor,
,IREC 2026_National Institute of Technology Tiruchirapalli Rocketry Team.ork,Umbreon,ok,M2500T,yes,10073,6.10,102.36,yes,component_sum+geom,30.483,no,,yes,77.52,,,tier3,10589,5.1,9788,M,9464.3,no,1,ogive,0.6400,barrowman:0.6400,yes,,override: cd [cd_override: Mach 0.959 near-transonic — cdMachOgive gives zero correction below M=1.3 but fins/base drag increase near transonic. Correction (2 iterations): 0.64.]
,irec2026 submitted.ork,irec 2026,ok,N3366,no,11775,6.14,111.34,yes,component_sum+geom,33.175,no,,yes,86.80,,,tier1_no_motor,,,2944,,,no,1,ogive,0.4408,n/a,no,motor,
,irecHybrid.ork,irecHybrid,ok,Hibo-Deneysel,no,12094,6.30,148.98,yes,databranch_t0,104.076,yes,94.76,yes,110.46,,,tier1_no_motor,,,3023,,,no,1,haack,0.5779,n/a,no,motor,
,IRECteam25_Odysseus.ork,IREC_ORK18,ok,N3300R,yes,11360,7.10,140.00,yes,databranch_t0,89.338,yes,86.81,yes,98.41,1.634,stable,tier3,11440,0.7,12197,N,14034.4,no,1,haack,0.4671,barrowman:0.4671,no,,
,IREC_2026_V7_(For Progress Report 2).ork,IREC_2026_V7,ok,O5500X-PS,yes,27422,5.53,143.62,yes,databranch_t0,76.520,yes,95.67,yes,106.07,1.883,stable,tier3,23767,-13.3,21227,O,21395.4,no,1,haack,0.6184,barrowman:0.6184,no,,
,IREC_Comp_ Roc_V2_2-15-2026.ork,Comp_Rocket_2/15/2026_V2,ok,O5500X-PS,yes,38222,4.00,112.45,yes,databranch_t0,62.316,yes,64.69,yes,87.56,5.719,stable,tier3,40292,5.4,35981,O,21395.4,no,1,ogive,0.6967,barrowman:0.6967,no,,
,IREC_version_04.ork,IREC_version_04,ok,N3300R,yes,11886,6.89,121.85,yes,databranch_t0,91.110,yes,79.61,yes,97.69,2.625,stable,tier3,11956,0.6,13093,N,14034.4,no,1,haack,0.4232,barrowman:0.4232,no,,
,Juno18.ork,Juno 18,ok,M2500T,yes,12280,6.17,116.80,yes,databranch_t0,56.952,yes,74.69,yes,20.53,-8.777,unstable,tier3,12381,0.8,8590,M,9464.3,no,1,ogive,0.3839,barrowman:0.3839,yes,,"override: motor [motor_designation: OR XML has 'M2500T', we matched 'M1845NT']"
